# adapted from https://github.com/sandavid/paris-metro-map/blob/master/Connexions_IDF.csv

E4;Rosny sous Bois;Val de Fontenay
E4;Rosny sous Bois;Rosny Bois Perrier
E4;Rosny Bois Perrier;Rosny sous Bois
E4;Rosny Bois Perrier;Noisy le Sec
E4;Noisy le Sec;Rosny Bois Perrier

M1;La Defense;Esplanade de La Defense
M1;Esplanade de La Defense;La Defense
M1;Esplanade de La Defense;Pont de Neuilly
M1;Pont de Neuilly;Esplanade de La Defense
M1;Pont de Neuilly;Les Sablons
M1;Les Sablons;Pont de Neuilly
M1;Les Sablons;Porte Maillot
M1;Porte Maillot;Les Sablons
M1;Porte Maillot;Argentine
M1;Argentine;Porte Maillot
M1;Argentine;Charles de Gaulle Etoile
M1;Charles de Gaulle Etoile;Argentine
M1;Charles de Gaulle Etoile;George V
M1;George V;Charles de Gaulle Etoile
M1;George V;Franklin Roosevelt
M1;Franklin Roosevelt;George V
M1;Franklin Roosevelt;Champs Elysees Clemenceau
M1;Champs Elysees Clemenceau;Franklin Roosevelt
M1;Champs Elysees Clemenceau;Concorde
M1;Concorde;Champs Elysees Clemenceau
M1;Concorde;Tuileries
M1;Tuileries;Concorde
M1;Tuileries;Palais Royal Musee du Louvre
M1;Palais Royal Musee du Louvre;Tuileries
M1;Palais Royal Musee du Louvre;Louvre Rivoli
M1;Louvre Rivoli;Palais Royal Musee du Louvre
M1;Louvre Rivoli;Chatelet
M1;Chatelet;Louvre Rivoli
M1;Chatelet;Hotel de Ville
M1;Hotel de Ville;Chatelet
M1;Hotel de Ville;St Paul
M1;St Paul;Hotel de Ville
M1;St Paul;Bastille
M1;Bastille;St Paul
M1;Bastille;Gare de Lyon
M1;Gare de Lyon;Bastille
M1;Gare de Lyon;Reullly Diderot
M1;Reullly Diderot;Gare de Lyon
M1;Reullly Diderot;Nation
M1;Nation;Reullly Diderot
M1;Nation;Porte de Vincennes
M1;Porte de Vincennes;Nation
M1;Porte de Vincennes;Saint Mande
M1;Saint Mande;Porte de Vincennes
M1;Saint Mande;Berault
M1;Berault;Saint Mande
M1;Berault;Chateau de Vincennes
M1;Chateau de Vincennes;Berault

M10;Boulogne Pont de St Cloud;Boulogne Jean Jaures
M10;Boulogne Jean Jaures;Boulogne Pont de St Cloud
M10;Boulogne Jean Jaures;Michel Ange Molitor
M10;Michel Ange Molitor;Chardon Lagache
M10;Chardon Lagache;Mirabeau
M10;Mirabeau;Javel Andre Citroen
M10;Javel Andre Citroen;Charles michels
M10;Javel Andre Citroen;Eglise d'Auteuil
M10;Eglise d'Auteuil;Michel Ange Auteuil
M10;Michel Ange Auteuil;porte d'Auteuil
M10;porte d'Auteuil;Boulogne Jean Jaures
M10;Charles michels;Javel Andre Citroen
M10;Charles michels;Avenue Emile Zola
M10;Avenue Emile Zola;Charles michels
M10;Avenue Emile Zola;La Motte Picquet Grenelle
M10;La Motte Picquet Grenelle;Avenue Emile Zola
M10;La Motte Picquet Grenelle;Segur
M10;Segur;La Motte Picquet Grenelle
M10;Segur;Duroc
M10;Duroc;Segur
M10;Duroc;Vaneau
M10;Vaneau;Duroc
M10;Vaneau;Sevres Babylone
M10;Sevres Babylone;Vaneau
M10;Sevres Babylone;Mabillon
M10;Mabillon;Sevres Babylone
M10;Mabillon;Odeon
M10;Odeon;Mabillon
M10;Odeon;Cluny.La Sorbonne
M10;Cluny.La Sorbonne;Odeon
M10;Cluny.La Sorbonne;Maubert Mutualite
M10;Maubert Mutualite;Cluny.La Sorbonne
M10;Maubert Mutualite;Cardinal Lemoine
M10;Cardinal Lemoine;Maubert Mutualite
M10;Cardinal Lemoine;Jussieu
M10;Jussieu;Cardinal Lemoine
M10;Jussieu;Gare d'Austerlitz
M10;Gare d'Austerlitz;Jussieu
M10;porte d'Auteuil;Michel Ange Auteuil
M10;Michel Ange Auteuil;porte d'Auteuil
M10;Michel Ange Auteuil;Eglise d'Auteuil
M10;Eglise d'Auteuil;Michel Ange Auteuil

M11;Chatelet;Hotel de Ville
M11;Hotel de Ville;Chatelet
M11;Hotel de Ville;Rambuteau
M11;Rambuteau;Hotel de Ville
M11;Rambuteau;Arts et Metiers
M11;Arts et Metiers;Rambuteau
M11;Arts et Metiers;Republique
M11;Republique;Arts et Metiers
M11;Republique;Goncourt
M11;Goncourt;Republique
M11;Goncourt;Belleville
M11;Belleville;Goncourt
M11;Belleville;Pyrenees
M11;Pyrenees;Belleville
M11;Pyrenees;Jourdain
M11;Jourdain;Pyrenees
M11;Jourdain;Place des Fetes
M11;Place des Fetes;Jourdain
M11;Place des Fetes;Telegraphe
M11;Telegraphe;Place des Fetes
M11;Telegraphe;Porte des Lilas
M11;Porte des Lilas;Telegraphe
M11;Porte des Lilas;Mairie des Lilas
M11;Mairie des Lilas;Porte des Lilas

M12;Porte de la Chapelle;Marx Dormoy
M12;Marx Dormoy;Porte de la Chapelle
M12;Marx Dormoy;Marcadet Poissonniers
M12;Marcadet Poissonniers;Marx Dormoy
M12;Marcadet Poissonniers;Jules Joffrin
M12;Jules Joffrin;Marcadet Poissonniers
M12;Jules Joffrin;Lamarck Caulaincourt
M12;Lamarck Caulaincourt;Jules Joffrin
M12;Lamarck Caulaincourt;Abbesses
M12;Abbesses;Lamarck Caulaincourt
M12;Abbesses;Pigalle
M12;Pigalle;Abbesses
